seed steps value exec_time
205 100 3711.41 24.0
205 500 2916.77 39.0
205 800 2968.08 63.0
205 1000 2875.2 38.0
205 1200 2842.77 35.0
205 1500 2818.92 38.0
205 1700 2796.31 73.0
205 2000 2616.18 48.0
205 2200 2572.93 59.0
205 2500 2598.68 62.0
205 2700 2515.79 58.0
205 3000 2499.65 90.0
205 3200 2491.31 91.0
205 3500 2482.03 93.0
205 3700 2447.96 140.0
205 4000 2448.61 121.0
205 4500 2421.87 149.0
205 5000 2435.12 196.0
205 6000 2389.13 124.0
205 7000 2385.32 156.0
205 8000 2378.19 148.0
205 9000 2361.93 200.0
205 10000 2372.78 209.0
205 12000 2336.45 270.0
205 15000 2331.23 265.0
205 20000 2335.96 112.0
205 25000 2334.99 177.0
205 50000 2327.11 255.0
205 75000 2319.75 429.0
205 100000 2325.67 551.0
205 125000 2309.56 720.0
205 150000 2322.55 818.0
205 175000 2317.59 953.0
205 200000 2319.39 1082.0
205 400000 2325.48 2377.0
205 600000 2318.15 3595.0
205 800000 2313.86 4665.0
205 1000000 2315.16 4286.0
205 1500000 2317.15 4839.0
224 100 3354.04 1.0
224 500 2853.06 2.0
224 800 2737.49 3.0
224 1000 2584.82 4.0
224 1200 2543.16 5.0
224 1500 2376.84 7.0
224 1700 2416.62 7.0
224 2000 2373.09 9.0
224 2200 2359.05 10.0
224 2500 2271.2 12.0
224 2700 2276.23 12.0
224 3000 2260.66 13.0
224 3200 2193.78 15.0
224 3500 2224.09 19.0
224 3700 2247.55 19.0
224 4000 2228.24 18.0
224 4500 2190.61 21.0
224 5000 2172.85 22.0
224 6000 2131.85 28.0
224 7000 2111.47 33.0
224 8000 2133.35 37.0
224 9000 2140.18 42.0
224 10000 2128.72 44.0
224 12000 2128.24 54.0
224 15000 2137.34 74.0
224 20000 2122.3 101.0
224 25000 2098.88 128.0
224 50000 2105.25 277.0
224 75000 2094.82 386.0
224 100000 2089.74 562.0
224 125000 2099.06 689.0
224 150000 2091.25 860.0
224 175000 2104.51 924.0
224 200000 2075.82 1130.0
224 400000 2097.53 2283.0
224 600000 2097.54 3459.0
224 800000 2093.12 4511.0
224 1000000 2090.28 4730.0
224 1500000 2096.12 4787.0
287 100 3775.32 1.0
287 500 3126.3 2.0
287 800 2906.67 4.0
287 1000 2912.28 4.0
287 1200 2733.89 5.0
287 1500 2633.74 6.0
287 1700 2599.85 8.0
287 2000 2529.38 8.0
287 2200 2579.81 9.0
287 2500 2482.69 12.0
287 2700 2464.96 13.0
287 3000 2452.79 13.0
287 3200 2428.01 14.0
287 3500 2389.66 15.0
287 3700 2389.89 16.0
287 4000 2364.38 18.0
287 4500 2384.12 20.0
287 5000 2367.67 22.0
287 6000 2340.75 36.0
287 7000 2359.14 32.0
287 8000 2344.11 38.0
287 9000 2338.86 42.0
287 10000 2313.17 47.0
287 12000 2312.46 62.0
287 15000 2289.12 75.0
287 20000 2280.97 105.0
287 25000 2277.41 129.0
287 50000 2270.59 264.0
287 75000 2281.86 406.0
287 100000 2265.12 607.0
287 125000 2267.12 742.0
287 150000 2263.87 872.0
287 175000 2277.57 979.0
287 200000 2267.89 1137.0
287 400000 2267.57 2349.0
287 600000 2259.16 3565.0
287 800000 2262.02 4793.0
287 1000000 2265.36 4719.0
287 1500000 2256.32 4994.0
99 100 3251.59 1.0
99 500 2814.37 2.0
99 800 2626.18 3.0
99 1000 2556.16 4.0
99 1200 2619.77 6.0
99 1500 2485.0 6.0
99 1700 2333.78 7.0
99 2000 2272.77 9.0
99 2200 2232.52 10.0
99 2500 2228.0 11.0
99 2700 2179.81 11.0
99 3000 2163.4 13.0
99 3200 2144.6 12.0
99 3500 2106.09 14.0
99 3700 2124.72 15.0
99 4000 2111.26 21.0
99 4500 2100.39 20.0
99 5000 2078.32 22.0
99 6000 2120.35 26.0
99 7000 2075.19 31.0
99 8000 2065.23 36.0
99 9000 2060.54 38.0
99 10000 2015.36 45.0
99 12000 2052.18 58.0
99 15000 2027.71 70.0
99 20000 2008.05 94.0
99 25000 2028.58 111.0
99 50000 2005.15 243.0
99 75000 2001.19 362.0
99 100000 2013.08 494.0
99 125000 1994.53 626.0
99 150000 1999.38 754.0
99 175000 2017.02 862.0
99 200000 1987.69 1008.0
99 400000 2000.26 2153.0
99 600000 2007.43 3125.0
99 800000 1985.03 4558.0
99 1000000 1991.54 4136.0
99 1500000 1992.05 4566.0
291 100 3233.63 1.0
291 500 3037.15 2.0
291 800 3036.23 4.0
291 1000 2906.09 5.0
291 1200 2998.37 5.0
291 1500 2905.99 6.0
291 1700 2749.99 8.0
291 2000 2738.07 9.0
291 2200 2656.92 10.0
291 2500 2640.5 12.0
291 2700 2591.28 12.0
291 3000 2628.91 22.0
291 3200 2593.25 15.0
291 3500 2562.32 16.0
291 3700 2518.31 17.0
291 4000 2531.16 19.0
291 4500 2485.19 23.0
291 5000 2510.6 24.0
291 6000 2511.77 30.0
291 7000 2490.54 33.0
291 8000 2474.32 38.0
291 9000 2472.76 43.0
291 10000 2484.54 55.0
291 12000 2467.53 65.0
291 15000 2488.37 73.0
291 20000 2448.6 99.0
291 25000 2452.91 127.0
291 50000 2472.33 263.0
291 75000 2437.33 391.0
291 100000 2440.17 523.0
291 125000 2432.27 650.0
291 150000 2451.16 779.0
291 175000 2430.0 946.0
291 200000 2459.26 1052.0
291 400000 2468.34 2149.0
291 600000 2447.98 3386.0
291 800000 2457.11 4154.0
291 1000000 2444.41 4490.0
291 1500000 2451.17 4093.0
323 100 3361.79 1.0
323 500 2815.61 2.0
323 800 2566.19 3.0
323 1000 2437.04 4.0
323 1200 2466.92 5.0
323 1500 2449.96 6.0
323 1700 2406.01 7.0
323 2000 2288.73 8.0
323 2200 2238.55 9.0
323 2500 2242.36 11.0
323 2700 2191.16 12.0
323 3000 2160.16 13.0
323 3200 2162.78 22.0
323 3500 2126.63 16.0
323 3700 2122.06 16.0
323 4000 2120.96 17.0
323 4500 2111.06 19.0
323 5000 2067.73 21.0
323 6000 2034.19 33.0
323 7000 2058.28 30.0
323 8000 2038.61 34.0
323 9000 2073.06 36.0
323 10000 2014.01 42.0
323 12000 2031.48 56.0
323 15000 2026.46 67.0
