seed steps costSA costHC exec_timeSA exec_timeHC
113 5120 2499.6666666666665 2351.21 139.0 4695.0
113 10400 2361.9133333333334 2351.21 82.0 3485.0
113 20000 2295.9799999999996 2351.21 144.0 3510.0
113 30400 2285.12 2351.21 143.0 3517.0
113 40000 2266.366666666667 2351.21 184.0 3496.0
113 80000 2285.383333333333 2351.21 365.0 3447.0
113 160000 2270.33 2351.21 743.0 3528.0
278 5120 2802.756666666666 2684.27 23.0 3322.0
278 10400 2670.2833333333333 2684.27 49.0 3304.0
278 20000 2619.41 2684.27 91.0 3299.0
278 30400 2618.1 2684.27 137.0 3465.0
278 40000 2601.8700000000003 2684.27 193.0 3584.0
278 80000 2590.1033333333335 2684.27 434.0 3410.0
278 160000 2594.73 2684.27 782.0 3380.0
145 5120 2591.44 2415.33 24.0 3667.0
145 10400 2471.9933333333333 2415.33 50.0 3555.0
145 20000 2380.9500000000003 2415.33 93.0 4135.0
145 30400 2386.4500000000003 2415.33 135.0 3422.0
145 40000 2384.72 2415.33 175.0 3512.0
145 80000 2373.693333333333 2415.33 371.0 3431.0
145 160000 2390.846666666667 2415.33 747.0 3378.0
60 5120 2432.85 2252.27 21.0 3850.0
60 10400 2294.86 2252.27 49.0 4303.0
60 20000 2222.92 2252.27 90.0 3858.0
60 30400 2208.653333333333 2252.27 138.0 4045.0
60 40000 2213.27 2252.27 184.0 4021.0
60 80000 2217.35 2252.27 421.0 3977.0
60 160000 2217.4133333333334 2252.27 799.0 3921.0
334 5120 2541.9466666666667 2344.41 22.0 3356.0
334 10400 2357.56 2344.41 48.0 3339.0
334 20000 2317.1233333333334 2344.41 91.0 3578.0
334 30400 2287.3466666666664 2344.41 141.0 3281.0
334 40000 2299.3866666666668 2344.41 177.0 3330.0
334 80000 2293.0499999999997 2344.41 417.0 3332.0
334 160000 2299.9 2344.41 759.0 3287.0
132 5120 2679.6566666666663 2539.42 29.0 3009.0
132 10400 2564.77 2539.42 49.0 3095.0
132 20000 2506.3033333333333 2539.42 92.0 3075.0
132 30400 2494.2566666666667 2539.42 139.0 3263.0
132 40000 2485.7766666666666 2539.42 184.0 3176.0
132 80000 2477.0733333333333 2539.42 385.0 3052.0
132 160000 2492.1000000000004 2539.42 788.0 3130.0
138 5120 2799.66 2609.41 22.0 3561.0
138 10400 2616.8166666666666 2609.41 47.0 3317.0
138 20000 2566.4133333333334 2609.41 87.0 3298.0
138 30400 2551.596666666667 2609.41 137.0 3394.0
138 40000 2536.876666666667 2609.41 186.0 3396.0
138 80000 2545.5466666666666 2609.41 382.0 3350.0
138 160000 2539.8233333333337 2609.41 766.0 3437.0
75 5120 2833.49 2700.34 28.0 3260.0
75 10400 2706.5466666666666 2700.34 47.0 3476.0
75 20000 2651.7066666666665 2700.34 92.0 3418.0
75 30400 2641.42 2700.34 140.0 3324.0
75 40000 2635.6133333333332 2700.34 183.0 3390.0
75 80000 2631.29 2700.34 372.0 3305.0
75 160000 2629.9500000000003 2700.34 779.0 3275.0
241 5120 2439.7333333333336 2283.02 22.0 3158.0
241 10400 2315.396666666667 2283.02 46.0 3227.0
241 20000 2268.7633333333333 2283.02 90.0 3166.0
241 30400 2243.7666666666664 2283.02 146.0 3258.0
241 40000 2251.0499999999997 2283.02 176.0 3220.0
241 80000 2240.4133333333334 2283.02 370.0 3237.0
241 160000 2240.983333333333 2283.02 764.0 3269.0
399 5120 2735.956666666667 2536.49 22.0 3358.0
399 10400 2549.9900000000002 2536.49 46.0 3210.0
399 20000 2500.4600000000005 2536.49 95.0 3213.0
399 30400 2476.4966666666664 2536.49 142.0 3158.0
399 40000 2482.75 2536.49 176.0 3284.0
399 80000 2479.75 2536.49 371.0 3218.0
399 160000 2474.7633333333333 2536.49 808.0 3304.0
